B编号,测量模式,拟合方式,Trace厚度,inferTraceFocus耗时(ms),line function len,traceHeightRatio,upDist,downDist,upDownDist,localPeaks,dist(um),trace index更新,Measure(ms),总耗时Time(ms),RVal
00205,normal,5点高斯拟合,-,34.9756,1803.89,0.157185,"268.545 -> 303.545","1505.34 -> 1540.34",1803.89,-,-,-,-,140.485,0
00206,normal,5点高斯拟合,-,38.9612,1803.35,0.156959,"268.053 -> 303.053","1505.3 -> 1540.3",1803.35,-,-,-,-,146.385,0
00207,normal,5点高斯拟合,-,37.2110,1805.52,0.157521,"269.408 -> 304.408","1506.12 -> 1541.12",1805.52,-,-,-,-,147.510,0
00208,normal,5点高斯拟合,-,36.0384,1808.29,0.155545,"266.271 -> 301.271","1512.02 -> 1547.02",1808.29,-,-,-,-,139.616,0
00252,normal,5点高斯拟合,-,38.8181,1814.34,0.166173,"286.495 -> 321.495","1497.85 -> 1532.85",1814.34,-,-,-,-,154.452,0
00253,normal,5点高斯拟合,-,38.5294,1814.69,0.165749,"285.784 -> 320.784","1498.91 -> 1533.91",1814.69,-,-,-,-,150.264,0
00435,TraceWoWire,-,60,0.0024,1814.78,0.392810,"682.863 -> 717.863","1071.92 -> 1106.92",1814.78,2,15.3439,"238.686 -> 236.365",137.331,165.805,0
00436,TraceWoWire,-,60,0.0027,1814.36,0.392440,"682.029 -> 717.029","1072.33 -> 1107.33",1814.36,2,16.0107,"238.997 -> 236.575",133.716,164.677,0
00437,TraceWoWire,-,60,0.0027,1814.21,0.389671,"676.946 -> 711.946","1077.27 -> 1112.27",1814.21,2,21.0341,"239.759 -> 236.577",136.642,163.705,0
00438,TraceWoWire,-,60,0.0029,1813.49,0.388591,"674.705 -> 709.705","1078.78 -> 1113.78",1813.49,2,22.9838,"240.368 -> 236.892",138.229,165.797,0
00482,normal,5点高斯拟合,-,34.4712,1797.52,0.161493,"275.286 -> 310.286","1492.23 -> 1527.23",1797.52,-,-,-,-,154.025,0
00483,normal,5点高斯拟合,-,39.1550,1795.77,0.162774,"277.303 -> 312.303","1488.46 -> 1523.46",1795.77,-,-,-,-,152.298,0
00537,TraceWoWire,5点高斯拟合,30,0.0026,1801.47,0.178757,"307.027 -> 342.027","1464.45 -> 1499.45",1801.47,5,6.11341,"187.841 -> 186.882",148.310,177.852,0
00539,TraceWoWire,5点高斯拟合,30,0.0030,1803.02,0.184248,"317.203 -> 352.203","1455.82 -> 1490.82",1803.02,3,3.78090,"186.827 -> 187.420",144.473,172.863,0
00540,TraceWoWire,5点高斯拟合,30,0.0027,1805.61,0.187871,"324.222 -> 359.222","1451.39 -> 1486.39",1805.61,3,10.3284,"185.910 -> 187.531",150.048,175.766,0
00558,TraceWoWire,-,60,0.0021,1795.45,0.316798,"538.794 -> 573.794","1196.65 -> 1231.65",1795.45,3,1.38519,"217.455 -> 217.673",134.608,159.511,0
00559,TraceWoWire,-,60,0.0024,1791.13,0.314810,"533.866 -> 568.866","1197.27 -> 1232.27",1791.13,3,2.17878,"216.355 -> 216.014",131.942,152.569,0
00571,TraceWoWire,-,60,0.0025,1795.89,0.466674,"808.094 -> 843.094","927.795 -> 962.795",1795.89,3,24.7292,"261.638 -> 265.517",145.752,174.361,0
00573,TraceWoWire,-,60,0.0025,1795.90,0.468234,"810.904 -> 845.904","925 -> 960",1795.90,2,27.5318,"260.602 -> 264.921",146.998,172.111,0
00577,normal,5点高斯拟合,-,35.1520,1817.99,0.823479,"1482.07 -> 1517.07","305.912 -> 340.912",1817.99,-,-,-,-,145.904,0
00578,normal,5点高斯拟合,-,36.6289,1817.28,0.821946,"1478.71 -> 1513.71","308.575 -> 343.575",1817.28,-,-,-,-,145.125,0
00579,normal,5点高斯拟合,-,36.5668,1812.82,0.823068,"1477.08 -> 1512.08","305.747 -> 340.747",1812.82,-,-,-,-,146.235,0
00580,normal,5点高斯拟合,-,40.4550,1816.67,0.821554,"1477.5 -> 1512.5","309.179 -> 344.179",1816.67,-,-,-,-,159.263,0
